id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
7Gs3otHnZDq514kFHf0nx7,0.515,0.431,4,-8.251,1,0.257,0.665,0.0,0.147,0.184,141.392,227809,4,0
67lvhLT01Fq3GEIrt5RpPn,0.598,0.664,2,-5.086,1,0.426,0.011,0.0,0.539,0.315,149.17,198591,4,1
5W8HXMOMLtXLz0RGKUtnlZ,0.664,0.692,1,-4.128,0,0.127,0.237,0.0,0.0798,0.233,154.924,257369,4,1
308Ir17KlNdlrbVLHWhlLe,0.808,0.903,9,-2.179,1,0.0729,0.0899,0.0,0.0816,0.922,120.044,198053,4,2
4IfJuDOnqRfVVnzsDaqPeL,0.893,0.638,8,-7.959,1,0.32,0.0852,0.0,0.139,0.584,79.944,180000,4,2
7u5305l9KSUD6hKfpl3QSQ,0.65,0.597,8,-5.544,0,0.313,0.342,0.0,0.104,0.808,90.635,234667,4,3
4HTY26kzdGCKJF1EqcRd2J,0.559,0.532,5,-7.679,0,0.353,0.174,0.0,0.136,0.529,85.843,186060,5,1
4YFPUYwA9Jmk9xQYCbz3zb,0.462,0.615,1,-6.429,1,0.215,0.23,0.0,0.0928,0.307,90.068,182251,4,1
4s7QLoImIwmPi9L6dq1nVW,0.568,0.56,9,-9.059,1,0.42,0.228,3.05e-06,0.39,0.246,130.019,308756,4,1
4VCbgIdr8ptegWeJpqLVHH,0.73,0.576,2,-5.442,1,0.287,0.354,3.59e-05,0.15,0.155,92.131,228461,4,1
2f2WskmLwsLtGkjntD8NG7,0.657,0.496,5,-7.346,1,0.0889,0.213,0.0,0.12,0.352,146.061,157845,4,1
2hoR8CosGo9F4dTrE056ea,0.606,0.671,10,-7.529,0,0.352,0.415,0.0,0.176,0.642,168.201,148571,4,3
5QS8PNEWbqTEZyQ6e9ZbJf,0.659,0.683,3,-5.623,1,0.0312,0.513,4.93e-06,0.133,0.397,139.931,203373,4,1
2TDP5T7TSnD5oVn4Irg585,0.558,0.635,2,-7.024,1,0.476,0.256,0.0,0.12,0.58,139.575,178286,4,1
22mxylGJ4gUVXc70E7BrPJ,0.772,0.786,2,-5.874,1,0.366,0.0825,0.0,0.347,0.668,78.517,161309,4,2
4ysh4U8WPIuKS8Ff1ttSaS,0.764,0.702,10,-6.837,0,0.269,0.175,0.0,0.0934,0.873,85.953,135000,4,2
7CK0O8SL6liw5eoHCRAcJf,0.723,0.549,5,-6.743,1,0.0641,0.658,0.0,0.0886,0.526,149.991,192000,4,3
0UFXtWjUoj6mMOcIhuwKoM,0.586,0.516,7,-7.018,1,0.341,0.159,0.0,0.135,0.505,110.343,174545,5,1
1BCHhb7Zd9mK4X602uhZi3,0.607,0.565,5,-7.417,0,0.412,0.0824,0.0,0.185,0.373,107.981,177778,5,1
